unit,year,country,variable,value
g,2013,BG,gdiincj992,0.421614498204029
g,2014,BG,gdiincj992,0.434793487752891
g,2015,BG,gdiincj992,0.446613177022023
g,2016,BG,gdiincj992,0.484987633700641
g,2017,BG,gdiincj992,0.498278905958415
g,2018,BG,gdiincj992,0.498542565449668
g,2019,BG,gdiincj992,0.485695808072251
g,2020,BG,gdiincj992,0.492251432573283
g,2021,BG,gdiincj992,0.494697066586369
g,2022,BG,gdiincj992,0.494476386732089
g,1981,BH,gdiincj992,0.640418592203915
g,1982,BH,gdiincj992,0.641534024183557
g,1983,BH,gdiincj992,0.641944922579903
g,1984,BH,gdiincj992,0.643303664890105
g,1985,BH,gdiincj992,0.642078675368133
g,1986,BH,gdiincj992,0.641191865795264
g,1987,BH,gdiincj992,0.641659063869824
g,1988,BH,gdiincj992,0.641899184365656
g,1989,BH,gdiincj992,0.643918400258976
g,1990,BH,gdiincj992,0.642380878966058
g,1991,BH,gdiincj992,0.641616449857246
g,1992,BH,gdiincj992,0.64218421917343
g,1993,BH,gdiincj992,0.640062933420595
g,1994,BH,gdiincj992,0.638830635754509
g,1995,BH,gdiincj992,0.641338772878115
g,1996,BH,gdiincj992,0.638965337561494
g,1997,BH,gdiincj992,0.640964317612045
g,1998,BH,gdiincj992,0.638176261823858
g,1999,BH,gdiincj992,0.634239267912776
g,2000,BH,gdiincj992,0.635388713684904
g,2001,BH,gdiincj992,0.631807076744437
g,2002,BH,gdiincj992,0.631656241708583
g,2003,BH,gdiincj992,0.635571341544455
g,2004,BH,gdiincj992,0.631920560087444
g,2005,BH,gdiincj992,0.633184024767893
g,2006,BH,gdiincj992,0.633078172843646
g,2007,BH,gdiincj992,0.634920108024673
g,2008,BH,gdiincj992,0.631992145183872
g,2009,BH,gdiincj992,0.631639238391358
g,2010,BH,gdiincj992,0.63703507683713
g,2011,BH,gdiincj992,0.629246759652624
g,2012,BH,gdiincj992,0.63742410829704
g,2013,BH,gdiincj992,0.635171192924744
g,2014,BH,gdiincj992,0.635936958305876
g,2015,BH,gdiincj992,0.636512828674071
g,2016,BH,gdiincj992,0.638031767933214
g,2017,BH,gdiincj992,0.637810791416911
g,2018,BH,gdiincj992,0.640182216814239
g,2019,BH,gdiincj992,0.638735905903658
g,2020,BH,gdiincj992,0.638260180229921
g,2021,BH,gdiincj992,0.638260255839853
g,2022,BH,gdiincj992,0.638260289960456
g,1981,BI,gdiincj992,0.4828034522275
g,1982,BI,gdiincj992,0.476147032206803
g,1983,BI,gdiincj992,0.481761641667207
g,1984,BI,gdiincj992,0.477988528475448
g,1985,BI,gdiincj992,0.478304091019144
g,1986,BI,gdiincj992,0.469842337352414
g,1987,BI,gdiincj992,0.480803246695252
g,1988,BI,gdiincj992,0.468966110783022
g,1989,BI,gdiincj992,0.471306889820898
g,1990,BI,gdiincj992,0.473320793647375
g,1991,BI,gdiincj992,0.467042728317942
g,1992,BI,gdiincj992,0.463254833030831
